clock_time,od_600nm,strain,overexpression,carbon_source,inducer_conc_ng_ml,run_idx
15:35,0.026,wildtype,rbsB,glucose,0,1
16:15,0.044,wildtype,rbsB,glucose,0,1
17:11,0.098,wildtype,rbsB,glucose,0,1
17:31,0.134,wildtype,rbsB,glucose,0,1
17:53,0.179,wildtype,rbsB,glucose,0,1
18:14,0.248,wildtype,rbsB,glucose,0,1
18:44,0.396,wildtype,rbsB,glucose,0,1
15:35,0.026,wildtype,rbsB,glucose,1,2
16:15,0.04,wildtype,rbsB,glucose,1,2
17:11,0.084,wildtype,rbsB,glucose,1,2
17:31,0.111,wildtype,rbsB,glucose,1,2
17:53,0.148,wildtype,rbsB,glucose,1,2
18:14,0.2,wildtype,rbsB,glucose,1,2
18:44,0.318,wildtype,rbsB,glucose,1,2
15:35,0.024,wildtype,rbsB,glucose,3,3
16:15,0.038,wildtype,rbsB,glucose,3,3
17:11,0.075,wildtype,rbsB,glucose,3,3
17:31,0.097,wildtype,rbsB,glucose,3,3
17:53,0.128,wildtype,rbsB,glucose,3,3
18:14,0.167,wildtype,rbsB,glucose,3,3
18:44,0.26,wildtype,rbsB,glucose,3,3
19:23,0.449,wildtype,rbsB,glucose,3,3
15:35,0.024,wildtype,rbsB,glucose,6,4
16:15,0.04,wildtype,rbsB,glucose,6,4
17:11,0.076,wildtype,rbsB,glucose,6,4
17:31,0.1,wildtype,rbsB,glucose,6,4
17:53,0.133,wildtype,rbsB,glucose,6,4
18:14,0.176,wildtype,rbsB,glucose,6,4
18:44,0.276,wildtype,rbsB,glucose,6,4
19:23,0.478,wildtype,rbsB,glucose,6,4
15:37,0.028,wildtype,lamB,glucose,0,5
16:17,0.049,wildtype,lamB,glucose,0,5
17:13,0.111,wildtype,lamB,glucose,0,5
17:33,0.149,wildtype,lamB,glucose,0,5
17:55,0.208,wildtype,lamB,glucose,0,5
18:16,0.286,wildtype,lamB,glucose,0,5
18:46,0.451,wildtype,lamB,glucose,0,5
15:37,0.026,wildtype,lamB,glucose,1,6
16:17,0.043,wildtype,lamB,glucose,1,6
17:13,0.096,wildtype,lamB,glucose,1,6
17:33,0.126,wildtype,lamB,glucose,1,6
17:55,0.174,wildtype,lamB,glucose,1,6
18:16,0.238,wildtype,lamB,glucose,1,6
18:46,0.373,wildtype,lamB,glucose,1,6
15:37,0.029,wildtype,lamB,glucose,3,7
16:17,0.046,wildtype,lamB,glucose,3,7
17:13,0.101,wildtype,lamB,glucose,3,7
17:33,0.134,wildtype,lamB,glucose,3,7
17:55,0.184,wildtype,lamB,glucose,3,7
18:16,0.25,wildtype,lamB,glucose,3,7
18:46,0.389,wildtype,lamB,glucose,3,7
15:37,0.03,wildtype,lamB,glucose,6,8
16:17,0.048,wildtype,lamB,glucose,6,8
17:13,0.105,wildtype,lamB,glucose,6,8
17:33,0.137,wildtype,lamB,glucose,6,8
17:55,0.188,wildtype,lamB,glucose,6,8
18:16,0.254,wildtype,lamB,glucose,6,8
18:46,0.407,wildtype,lamB,glucose,6,8
15:39,0.103,wildtype,lacZ,glucose,0,9
16:12,0.157,wildtype,lacZ,glucose,0,9
17:06,0.329,wildtype,lacZ,glucose,0,9
17:16,0.369,wildtype,lacZ,glucose,0,9
17:26,0.438,wildtype,lacZ,glucose,0,9
15:39,0.074,wildtype,lacZ,glucose,1,10
16:12,0.083,wildtype,lacZ,glucose,1,10
17:06,0.104,wildtype,lacZ,glucose,1,10
17:29,0.112,wildtype,lacZ,glucose,1,10
17:51,0.119,wildtype,lacZ,glucose,1,10
18:12,0.126,wildtype,lacZ,glucose,1,10
19:23,0.148,wildtype,lacZ,glucose,1,10
15:39,0.073,wildtype,lacZ,glucose,3,11
16:12,0.081,wildtype,lacZ,glucose,3,11
17:06,0.095,wildtype,lacZ,glucose,3,11
17:29,0.102,wildtype,lacZ,glucose,3,11
17:51,0.108,wildtype,lacZ,glucose,3,11
18:12,0.112,wildtype,lacZ,glucose,3,11
19:23,0.131,wildtype,lacZ,glucose,3,11
15:39,0.076,wildtype,lacZ,glucose,6,12
16:12,0.083,wildtype,lacZ,glucose,6,12
17:06,0.099,wildtype,lacZ,glucose,6,12
17:29,0.105,wildtype,lacZ,glucose,6,12
17:51,0.111,wildtype,lacZ,glucose,6,12
18:12,0.116,wildtype,lacZ,glucose,6,12
19:23,0.134,wildtype,lacZ,glucose,6,12
12:45,0.068,wildtype,none,acetate,50,13
13:14,0.081,wildtype,none,acetate,50,13
13:46,0.098,wildtype,none,acetate,50,13
14:23,0.124,wildtype,none,acetate,50,13
14:44,0.14,wildtype,none,acetate,50,13
15:39,0.197,wildtype,none,acetate,50,13
16:22,0.252,wildtype,none,acetate,50,13
16:59,0.314,wildtype,none,acetate,50,13
17:11,0.358,wildtype,none,acetate,50,13
17:39,0.399,wildtype,none,acetate,50,13
18:12,0.486,wildtype,none,acetate,50,13
12:45,0.084,malE-rbsB-fliC-KO,none,acetate,50,14
13:14,0.106,malE-rbsB-fliC-KO,none,acetate,50,14
13:46,0.136,malE-rbsB-fliC-KO,none,acetate,50,14
14:23,0.182,malE-rbsB-fliC-KO,none,acetate,50,14
14:44,0.218,malE-rbsB-fliC-KO,none,acetate,50,14
15:39,0.337,malE-rbsB-fliC-KO,none,acetate,50,14
16:22,0.477,malE-rbsB-fliC-KO,none,acetate,50,14
16:59,0.647,malE-rbsB-fliC-KO,none,acetate,50,14
12:45,0.038,wildtype,none,acetate,0,15
13:14,0.041,wildtype,none,acetate,0,15
13:46,0.05,wildtype,none,acetate,0,15
14:23,0.063,wildtype,none,acetate,0,15
14:44,0.071,wildtype,none,acetate,0,15
15:39,0.098,wildtype,none,acetate,0,15
16:22,0.127,wildtype,none,acetate,0,15
17:11,0.167,wildtype,none,acetate,0,15
17:39,0.198,wildtype,none,acetate,0,15
18:12,0.239,wildtype,none,acetate,0,15
12:45,0.098,malE-rbsB-fliC-KO,none,acetate,0,16
13:14,0.125,malE-rbsB-fliC-KO,none,acetate,0,16
13:46,0.16,malE-rbsB-fliC-KO,none,acetate,0,16
14:23,0.219,malE-rbsB-fliC-KO,none,acetate,0,16
14:44,0.259,malE-rbsB-fliC-KO,none,acetate,0,16
15:39,0.398,malE-rbsB-fliC-KO,none,acetate,0,16
16:22,0.556,malE-rbsB-fliC-KO,none,acetate,0,16
16:59,0.7,malE-rbsB-fliC-KO,none,acetate,0,16
12:45,0.089,malE-rbsB-fliC-KO,rbsB,acetate,0,17
13:14,0.111,malE-rbsB-fliC-KO,rbsB,acetate,0,17
13:46,0.142,malE-rbsB-fliC-KO,rbsB,acetate,0,17
14:23,0.198,malE-rbsB-fliC-KO,rbsB,acetate,0,17
14:44,0.228,malE-rbsB-fliC-KO,rbsB,acetate,0,17
15:39,0.367,malE-rbsB-fliC-KO,rbsB,acetate,0,17
16:22,0.521,malE-rbsB-fliC-KO,rbsB,acetate,0,17
16:59,0.678,malE-rbsB-fliC-KO,rbsB,acetate,0,17
12:45,0.09,malE-rbsB-fliC-KO,rbsB,acetate,3,18
13:14,0.111,malE-rbsB-fliC-KO,rbsB,acetate,3,18
13:46,0.142,malE-rbsB-fliC-KO,rbsB,acetate,3,18
14:23,0.192,malE-rbsB-fliC-KO,rbsB,acetate,3,18
14:44,0.224,malE-rbsB-fliC-KO,rbsB,acetate,3,18
15:39,0.346,malE-rbsB-fliC-KO,rbsB,acetate,3,18
16:22,0.486,malE-rbsB-fliC-KO,rbsB,acetate,3,18
16:59,0.644,malE-rbsB-fliC-KO,rbsB,acetate,3,18
12:45,0.077,malE-rbsB-fliC-KO,rbsB,acetate,30,19
13:14,0.091,malE-rbsB-fliC-KO,rbsB,acetate,30,19
13:46,0.115,malE-rbsB-fliC-KO,rbsB,acetate,30,19
14:23,0.149,malE-rbsB-fliC-KO,rbsB,acetate,30,19
14:44,0.172,malE-rbsB-fliC-KO,rbsB,acetate,30,19
15:39,0.26,malE-rbsB-fliC-KO,rbsB,acetate,30,19
16:22,0.352,malE-rbsB-fliC-KO,rbsB,acetate,30,19
16:59,0.465,malE-rbsB-fliC-KO,rbsB,acetate,30,19
12:45,0.094,malE-rbsB-fliC-KO,rbsB,acetate,30,19
13:14,0.109,malE-rbsB-fliC-KO,rbsB,acetate,30,19
13:46,0.135,malE-rbsB-fliC-KO,rbsB,acetate,30,19
14:23,0.172,malE-rbsB-fliC-KO,rbsB,acetate,30,19
14:44,0.201,malE-rbsB-fliC-KO,rbsB,acetate,30,19
15:39,0.306,malE-rbsB-fliC-KO,rbsB,acetate,30,19
16:22,0.418,malE-rbsB-fliC-KO,rbsB,acetate,30,19
16:59,0.541,malE-rbsB-fliC-KO,rbsB,acetate,30,19
12:45,0.105,malE-rbsB-fliC-KO,rbsB,acetate,50,20
13:14,0.125,malE-rbsB-fliC-KO,rbsB,acetate,50,20
13:46,0.154,malE-rbsB-fliC-KO,rbsB,acetate,50,20
14:23,0.203,malE-rbsB-fliC-KO,rbsB,acetate,50,20
14:44,0.236,malE-rbsB-fliC-KO,rbsB,acetate,50,20
15:39,0.356,malE-rbsB-fliC-KO,rbsB,acetate,50,20
16:22,0.478,malE-rbsB-fliC-KO,rbsB,acetate,50,20
16:59,0.601,malE-rbsB-fliC-KO,rbsB,acetate,50,20
12:09,0.08,malE-rbsB-fliC-KO,none,acetate,0,21
12:30,0.091,malE-rbsB-fliC-KO,none,acetate,0,21
12:56,0.113,malE-rbsB-fliC-KO,none,acetate,0,21
13:14,0.129,malE-rbsB-fliC-KO,none,acetate,0,21
13:27,0.145,malE-rbsB-fliC-KO,none,acetate,0,21
13:48,0.17,malE-rbsB-fliC-KO,none,acetate,0,21
14:11,0.206,malE-rbsB-fliC-KO,none,acetate,0,21
14:24,0.229,malE-rbsB-fliC-KO,none,acetate,0,21
14:43,0.26,malE-rbsB-fliC-KO,none,acetate,0,21
15:15,0.346,malE-rbsB-fliC-KO,none,acetate,0,21
15:34,0.395,malE-rbsB-fliC-KO,none,acetate,0,21
15:53,0.461,malE-rbsB-fliC-KO,none,acetate,0,21
14:25,0.028,malE-rbsB-fliC-KO,none,glucose,0,22
15:17,0.057,malE-rbsB-fliC-KO,none,glucose,0,22
15:57,0.104,malE-rbsB-fliC-KO,none,glucose,0,22
16:19,0.148,malE-rbsB-fliC-KO,none,glucose,0,22
16:36,0.195,malE-rbsB-fliC-KO,none,glucose,0,22
16:48,0.24,malE-rbsB-fliC-KO,none,glucose,0,22
17:01,0.294,malE-rbsB-fliC-KO,none,glucose,0,22
17:17,0.363,malE-rbsB-fliC-KO,none,glucose,0,22
17:27,0.436,malE-rbsB-fliC-KO,none,glucose,0,22
12:10,0.15,malE-rbsB-fliC-KO,rbsB,acetate,10,23
12:32,0.177,malE-rbsB-fliC-KO,rbsB,acetate,10,23
12:57,0.217,malE-rbsB-fliC-KO,rbsB,acetate,10,23
13:15,0.25,malE-rbsB-fliC-KO,rbsB,acetate,10,23
13:30,0.286,malE-rbsB-fliC-KO,rbsB,acetate,10,23
13:51,0.337,malE-rbsB-fliC-KO,rbsB,acetate,10,23
14:15,0.408,malE-rbsB-fliC-KO,rbsB,acetate,10,23
14:28,0.453,malE-rbsB-fliC-KO,rbsB,acetate,10,23
12:10,0.105,malE-rbsB-fliC-KO,rbsB,acetate,50,24
12:32,0.119,malE-rbsB-fliC-KO,rbsB,acetate,50,24
12:57,0.141,malE-rbsB-fliC-KO,rbsB,acetate,50,24
13:15,0.161,malE-rbsB-fliC-KO,rbsB,acetate,50,24
13:30,0.182,malE-rbsB-fliC-KO,rbsB,acetate,50,24
13:51,0.209,malE-rbsB-fliC-KO,rbsB,acetate,50,24
14:15,0.252,malE-rbsB-fliC-KO,rbsB,acetate,50,24
14:28,0.272,malE-rbsB-fliC-KO,rbsB,acetate,50,24
14:46,0.31,malE-rbsB-fliC-KO,rbsB,acetate,50,24
15:19,0.391,malE-rbsB-fliC-KO,rbsB,acetate,50,24
15:36,0.445,malE-rbsB-fliC-KO,rbsB,acetate,50,24
15:39,0.454,malE-rbsB-fliC-KO,rbsB,acetate,50,24
12:10,0.053,malE-rbsB-fliC-KO,rbsB,acetate,100,25
12:32,0.056,malE-rbsB-fliC-KO,rbsB,acetate,100,25
12:57,0.066,malE-rbsB-fliC-KO,rbsB,acetate,100,25
13:15,0.072,malE-rbsB-fliC-KO,rbsB,acetate,100,25
13:30,0.079,malE-rbsB-fliC-KO,rbsB,acetate,100,25
13:51,0.092,malE-rbsB-fliC-KO,rbsB,acetate,100,25
14:15,0.103,malE-rbsB-fliC-KO,rbsB,acetate,100,25
14:28,0.11,malE-rbsB-fliC-KO,rbsB,acetate,100,25
14:46,0.123,malE-rbsB-fliC-KO,rbsB,acetate,100,25
15:19,0.149,malE-rbsB-fliC-KO,rbsB,acetate,100,25
15:36,0.167,malE-rbsB-fliC-KO,rbsB,acetate,100,25
16:18,0.214,malE-rbsB-fliC-KO,rbsB,acetate,100,25
16:48,0.256,malE-rbsB-fliC-KO,rbsB,acetate,100,25
17:02,0.281,malE-rbsB-fliC-KO,rbsB,acetate,100,25
14:27,0.02,malE-rbsB-fliC-KO,rbsB,glucose,10,26
15:18,0.039,malE-rbsB-fliC-KO,rbsB,glucose,10,26
15:58,0.069,malE-rbsB-fliC-KO,rbsB,glucose,10,26
16:47,0.145,malE-rbsB-fliC-KO,rbsB,glucose,10,26
17:00,0.175,malE-rbsB-fliC-KO,rbsB,glucose,10,26
17:07,0.198,malE-rbsB-fliC-KO,rbsB,glucose,10,26
17:40,0.32,malE-rbsB-fliC-KO,rbsB,glucose,10,26
14:27,0.017,malE-rbsB-fliC-KO,rbsB,glucose,50,27
15:18,0.033,malE-rbsB-fliC-KO,rbsB,glucose,50,27
15:58,0.053,malE-rbsB-fliC-KO,rbsB,glucose,50,27
16:47,0.115,malE-rbsB-fliC-KO,rbsB,glucose,50,27
17:00,0.139,malE-rbsB-fliC-KO,rbsB,glucose,50,27
17:07,0.156,malE-rbsB-fliC-KO,rbsB,glucose,50,27
17:40,0.255,malE-rbsB-fliC-KO,rbsB,glucose,50,27
11:35,0.062,malE-rbsB-fliC-KO,none,glucose,0,28
12:43,0.165,malE-rbsB-fliC-KO,none,glucose,0,28
13:00,0.215,malE-rbsB-fliC-KO,none,glucose,0,28
13:12,0.262,malE-rbsB-fliC-KO,none,glucose,0,28
13:28,0.331,malE-rbsB-fliC-KO,none,glucose,0,28
13:40,0.403,malE-rbsB-fliC-KO,none,glucose,0,28
13:50,0.468,malE-rbsB-fliC-KO,none,glucose,0,28
14:08,0.604,malE-rbsB-fliC-KO,none,glucose,0,28
11:35,0.089,malE-rbsB-fliC-KO,rbsB,acetate,100,29
12:40,0.139,malE-rbsB-fliC-KO,rbsB,acetate,100,29
13:10,0.170,malE-rbsB-fliC-KO,rbsB,acetate,100,29
13:30,0.195,malE-rbsB-fliC-KO,rbsB,acetate,100,29
13:51,0.225,malE-rbsB-fliC-KO,rbsB,acetate,100,29
14:46,0.314,malE-rbsB-fliC-KO,rbsB,acetate,100,29
15:14,0.378,malE-rbsB-fliC-KO,rbsB,acetate,100,29
15:46,0.455,malE-rbsB-fliC-KO,rbsB,acetate,100,29
16:28,0.588,malE-rbsB-fliC-KO,rbsB,acetate,100,29
13:10,0.088,malE-rbsB-fliC-KO,none,acetate,0,30
13:30,0.104,malE-rbsB-fliC-KO,none,acetate,0,30
13:51,0.118,malE-rbsB-fliC-KO,none,acetate,0,30
14:46,0.176,malE-rbsB-fliC-KO,none,acetate,0,30
15:14,0.221,malE-rbsB-fliC-KO,none,acetate,0,30
15:46,0.277,malE-rbsB-fliC-KO,none,acetate,0,30
16:09,0.330,malE-rbsB-fliC-KO,none,acetate,0,30
16:28,0.385,malE-rbsB-fliC-KO,none,acetate,0,30
16:32,0.398,malE-rbsB-fliC-KO,none,acetate,0,30
11:34,0.075,malE-rbsB-fliC-KO,malE,acetate,0,31
12:30,0.121,malE-rbsB-fliC-KO,malE,acetate,0,31
13:20,0.234,malE-rbsB-fliC-KO,malE,acetate,0,31
14:05,0.32,malE-rbsB-fliC-KO,malE,acetate,0,31
14:30,0.375,malE-rbsB-fliC-KO,malE,acetate,0,31
14:57,0.442,malE-rbsB-fliC-KO,malE,acetate,0,31
15:30,0.545,malE-rbsB-fliC-KO,malE,acetate,0,31
11:34,0.075,malE-rbsB-fliC-KO,malE,acetate,10,32
13:20,0.23,malE-rbsB-fliC-KO,malE,acetate,10,32
14:05,0.308,malE-rbsB-fliC-KO,malE,acetate,10,32
14:30,0.364,malE-rbsB-fliC-KO,malE,acetate,10,32
14:57,0.434,malE-rbsB-fliC-KO,malE,acetate,10,32
15:30,0.528,malE-rbsB-fliC-KO,malE,acetate,10,32
11:34,0.077,malE-rbsB-fliC-KO,malE,acetate,50,33
13:20,0.244,malE-rbsB-fliC-KO,malE,acetate,50,33
14:05,0.331,malE-rbsB-fliC-KO,malE,acetate,50,33
14:30,0.391,malE-rbsB-fliC-KO,malE,acetate,50,33
14:57,0.464,malE-rbsB-fliC-KO,malE,acetate,50,33
15:30,0.567,malE-rbsB-fliC-KO,malE,acetate,50,33
11:34,0.083,malE-rbsB-fliC-KO,malE,acetate,100,34
13:20,0.250,malE-rbsB-fliC-KO,malE,acetate,100,34
14:05,0.324,malE-rbsB-fliC-KO,malE,acetate,100,34
14:30,0.373,malE-rbsB-fliC-KO,malE,acetate,100,34
14:57,0.434,malE-rbsB-fliC-KO,malE,acetate,100,34
15:30,0.515,malE-rbsB-fliC-KO,malE,acetate,100,34
11:34,0.064,malE-rbsB-fliC-KO,rbsB,acetate,10,35
13:20,0.191,malE-rbsB-fliC-KO,rbsB,acetate,10,35
14:05,0.233,malE-rbsB-fliC-KO,rbsB,acetate,10,35
14:30,0.258,malE-rbsB-fliC-KO,rbsB,acetate,10,35
14:57,0.289,malE-rbsB-fliC-KO,rbsB,acetate,10,35
15:30,0.434,malE-rbsB-fliC-KO,rbsB,acetate,10,35
11:34,0.070,malE-rbsB-fliC-KO,rbsB,acetate,50,36
13:20,0.202,malE-rbsB-fliC-KO,rbsB,acetate,50,36
14:05,0.248,malE-rbsB-fliC-KO,rbsB,acetate,50,36
14:30,0.265,malE-rbsB-fliC-KO,rbsB,acetate,50,36
14:57,0.305,malE-rbsB-fliC-KO,rbsB,acetate,50,36
15:30,0.436,malE-rbsB-fliC-KO,rbsB,acetate,50,36
11:34,0.073,malE-rbsB-fliC-KO,rbsB,acetate,100,37
13:20,0.201,malE-rbsB-fliC-KO,rbsB,acetate,100,37
14:05,0.244,malE-rbsB-fliC-KO,rbsB,acetate,100,37
14:30,0.282,malE-rbsB-fliC-KO,rbsB,acetate,100,37
14:57,0.325,malE-rbsB-fliC-KO,rbsB,acetate,100,37
15:30,0.453,malE-rbsB-fliC-KO,rbsB,acetate,100,37
11:34,0.055,malE-rbsB-fliC-KO,rbsB,acetate,0,38
13:20,0.17,malE-rbsB-fliC-KO,rbsB,acetate,0,38
14:05,0.217,malE-rbsB-fliC-KO,rbsB,acetate,0,38
14:30,0.25,malE-rbsB-fliC-KO,rbsB,acetate,0,38
14:57,0.288,malE-rbsB-fliC-KO,rbsB,acetate,0,38
15:30,0.446,malE-rbsB-fliC-KO,rbsB,acetate,0,38
12:42,0.037,malE-rbsB-fliC-KO,none,acetate,0,39
13:37,0.057,malE-rbsB-fliC-KO,none,acetate,0,39
14:14,0.075,malE-rbsB-fliC-KO,none,acetate,0,39
15:25,0.137,malE-rbsB-fliC-KO,none,acetate,0,39
16:18,0.21,malE-rbsB-fliC-KO,none,acetate,0,39
16:42,0.256,malE-rbsB-fliC-KO,none,acetate,0,39
17:14,0.336,malE-rbsB-fliC-KO,none,acetate,0,39
17:50,0.453,malE-rbsB-fliC-KO,none,acetate,0,39
12:42,0.055,malE-rbsB-fliC-KO,malE,acetate,10,40
13:37,0.073,malE-rbsB-fliC-KO,malE,acetate,10,40
14:14,0.122,malE-rbsB-fliC-KO,malE,acetate,10,40
15:25,0.183,malE-rbsB-fliC-KO,malE,acetate,10,40
16:18,0.223,malE-rbsB-fliC-KO,malE,acetate,10,40
16:42,0.28,malE-rbsB-fliC-KO,malE,acetate,10,40
17:14,0.368,malE-rbsB-fliC-KO,malE,acetate,10,40
17:50,0.407,malE-rbsB-fliC-KO,malE,acetate,10,40
18:08,0.484,malE-rbsB-fliC-KO,malE,acetate,10,40
12:42,0.053,malE-rbsB-fliC-KO,malE,acetate,20,41
13:37,0.07,malE-rbsB-fliC-KO,malE,acetate,20,41
14:14,0.12,malE-rbsB-fliC-KO,malE,acetate,20,41
15:25,0.176,malE-rbsB-fliC-KO,malE,acetate,20,41
16:18,0.211,malE-rbsB-fliC-KO,malE,acetate,20,41
16:42,0.263,malE-rbsB-fliC-KO,malE,acetate,20,41
17:14,0.344,malE-rbsB-fliC-KO,malE,acetate,20,41
17:50,0.385,malE-rbsB-fliC-KO,malE,acetate,20,41
18:08,0.452,malE-rbsB-fliC-KO,malE,acetate,20,41
12:42,0.064,malE-rbsB-fliC-KO,malE,acetate,50,42
13:37,0.085,malE-rbsB-fliC-KO,malE,acetate,50,42
14:14,0.14,malE-rbsB-fliC-KO,malE,acetate,50,42
15:25,0.198,malE-rbsB-fliC-KO,malE,acetate,50,42
16:18,0.23,malE-rbsB-fliC-KO,malE,acetate,50,42
16:42,0.286,malE-rbsB-fliC-KO,malE,acetate,50,42
17:14,0.367,malE-rbsB-fliC-KO,malE,acetate,50,42
17:50,0.406,malE-rbsB-fliC-KO,malE,acetate,50,42
18:08,0.474,malE-rbsB-fliC-KO,malE,acetate,50,42
12:42,0.04,malE-rbsB-fliC-KO,malE,acetate,100,43
13:37,0.052,malE-rbsB-fliC-KO,malE,acetate,100,43
